English;Malaysian;Indonesian;
religion;agama, ugama (widely used before the 80s);agama, kepercayaan;
renovation;pengubahsuaian;renovasi;
reproduction;pembiakan;reproduksi, pembiakan (also mean breeding);
research;kajian(mean research or investigation result in Indonesian);penelitian, riset;
responsibility;tanggungjawab;tanggung jawab, pertanggungjawaban;
resistor;perintang;resistor, hambatan, perintang;
restaurant;kedai makan lit. "eating shop", restoran;rumah makan lit. "eating house", warung makan lit. "eating café", restoran;
retailing;peruncitan;ritel, eceran;
ring (mathematics);gelanggang;ring, gelanggang;
rob;rompak (Indonesian for "to commit piracy");rampok, rampas;
Rome;Rom;Roma;
room;bilik (usually used to mean "compartment" in Indonesian);kamar (from Dutch kamer), ruang (Javanese, for storage areas etc.);
roundabout (traffic);bulatan e.g. Bulatan DBP in Kuala Lumpur pusing keliling (in Brunei);bundaran e.g. Bundaran HI in Jakarta;
routing;penghalaan;penghalaan;
royal;diraja;kerajaan (in Malaysia and Brunei means "kingdom" or "government");
rubber;getah may also mean gum or sap or resin in both languages, also figure of speech for "cause of bad deed";karet;
rumour;khabar angin, desas-desus;rumor, desas-desus, kabar angin, kabar burung;
salty;masin;asin, masin (rare);
Sanskrit;Sanskrit;Sanskerta;
sauce;sos;saus;
sausage;sosej;sosis (from Dutch saucijs);
scenario;senario;skenario;
school (Islamic);sekolah pondok;madrasah, pesantren, pondok pesantren;
science;sains;ilmu (from Arabic 'ilm) (alam), sains (especially for "natural science");
Scotland;Scotland;Skotlandia;
secret;rahsia;rahasia;
secretary;setiausaha Indonesian lit. "loyal to work";sekretaris (from Dutch secretaris);
section;seksyen, bahagian;seksi (from Dutch sectie), bagian;
sensor;penderia, pengesan, sensor;sensor;
server (computing);pelayan;server, peladen;
session;sesyen, sesi;sesi (from Dutch sessie);
sewer;saluran najis "najis" means dirty in both languages, saluran kumbahan;selokan, parit (means 'ditch' in Malay), got, saluran air/pembuangan;
sexagesimal;perenampuluhan;seksagesimal;
shampoo;syampu (from Anglo-Indian / Hindustani ch?mpo, the imperative form of (Hindi) ??????? ch?mpn? 'to smear, knead the muscles, massage');sampo;
share (verb);berkongsi (In Indonesian, it means "creating trading company" or "ploting something bad".);berbagi;
shirt;baju (also in Indonesian but more generally refers to clothes);kaos, kemeja (from Portuguese camisa, implies collared shirt);
shoe;kasut generalized term for any footwear in Indonesian, but usually related to sandals or ancient shoes., sepatu;sepatu (understood but less frequently used in Malaysia, from Portuguese sapato);
shop;kedai (Means eateries stall in Indonesia);toko, warung, kedai;
shopping mall;pusat beli-belah;mal, pusat perbelanjaan;
site (internet);tapak (mean foundation (building) or footprint in Indonesia);situs;
Slovakia;Slovakia;Slowakia;
snow;salji (from Arabic thalj);salju (also from thalj);
sodomy;liwat (from Arabic);sodomi, liwat (only used in Islamic text book);
solar;solar, suria (from Sanskrit 'surya');surya;
solution;penyelesaian; solusi (rare);solusi, pemecahan, penyelesaian;
sour;masam;asam, masam (poetic, usually used in connotative expression: bermuka masam: sour faced (unsatisfied/unhappy expression));
soya beans;kacang soya;(kacang) kedelai;
Spain;Sepanyol;Spanyol;
speak/talk;berbicara, bercakap (means 'to chat' in Indonesian), bersembang, berborak;berbicara, ngomong (Javanese ngoko, colloquial);
specialist;perubatan, pakar;spesialis (in case of specialist doctor), pakar in general, it means expert;
spoon;sudu;sendok;
sport;sukan;olahraga (means "athletics" Malay, from Sanskrit, lit. "to train the body");
spouse;pasangan suami-isteri, kelamin colloquial, in Indonesian means "sex" or "gender";pasangan (suami-istri), suami-istri (husband-wife);
stability;kestabilan;stabilitas, kestabilan;
stadium;stadium;stadion, stadiun from Dutch;
staff;kakitangan (phrase "kaki tangan" mean subordinate with negative image in Indonesian);staf, personil from Dutch personeel, pegawai;
stamp;setem;perangko;
standard;piawai, standard;standar patokan;
starfish;tapak Sulaiman;bintang laut;
state (within a federation);negeri;negara bagian;
station;stesen;stasiun (formerly spelled "setasiun");
steering wheel;roda stereng;roda setir from Dutch stuur;
stop (verb);berhenti;berhenti, henti, stop;
strawberry;strawberi;stroberi, arbei from Dutch aardbei;
stupid;bodoh, bengap, tolol, bangang, bongok (slang);bodoh, dungu, tolol, goblok (slang), very demeaning in Malay, geblek (slang), bego (slang);
sublimation (phase transition);pemejalwapan;sublimasi, penyubliman;
Sunday;Ahad;Minggu from Portuguese Domingo which means Lord's Day, Ahad(only used in Islamic calendar;
sunglasses;cermin mata gelap (In Indonesia, cermin means "mirror".);kacamata hitam (lit. black glasses), kacamata riben (from American brand of sunglasses 'Ray-Ban');
supermarket;pasar raya;supermarket, pasar swalayan(literally mean self-service market);
supervision;penyeliaan;pengawasan, penyeliaan, supervisi;
survey;tinjauan (mean process or result of observation in Indonesian), kaji selidik;survei;
suspend (hang);menggantung (it means 'hang' in Indonesian);menangguhkan (also 'adjourn' in Malay);
Sweden;Sweden;Swedia;
Switzerland;Switzerland;Swiss;
Syria;Syria;Suriah (from Arabic);
table (set of facts or figures);jadual (Indonesian equivalent, jadwal, means "schedule".);tabel;
tank;kereta kebal;tank;
tap water;air paip (piped water);air keran (from Dutch Kraan), air ledeng ("ledeng" also means "plumbing", from Dutch "leiding");
tapioca;ubi kayu as in Indonesian, understood as the tuber cassava itself;(tepung) tapioka, tepung singkong;
taxi;teksi;taksi;
teacher;cikgu, guru;guru;
teacher (religious, Islam);ustaz, ustad (ultimately from Persian ???????), ustadzah female;ustad, ustadzah;
team;pasukan used in Indonesian to refer to squad (military);tim;
telephone;telefon (formerly talipon);telepon;
television;televisyen, TV;televisi (from Dutch televisie) , TV;
terrorist;pengganas (means rioter" in Indonesian);teroris;
terrorism;pengganasan;terorisme;
testicles;buah zakar, testis, buah keranjut;testis, biji kemaluan, buah zakar (slang, vulgar), kanjut (slang, vulgar);
Thailand;Negara Thai, Siam, Thailand;Thailand, Siam, Muangthai used in old scripts;
The Hague;The Hague;Den Haag (from Dutch);
ticket;tiket;tiket, karcis (from Dutch kaartje. Usually refers to small-size ticket);
time;masa, waktu;waktu from Arabic ????? (al-Waqt), masa (can be used for 'at a specific long period of time' in Indonesian);
tire (US)/tyre (UK);tayar;ban (from Dutch [auto]band);
tofu;tauhu;tahu, tofu;
toilet;bilik air, tandas;toilet, kamar kecil, WC (pronounced 'we-se') for watercloset;
tornado;puting beliung;puting beliung, angin puyuh, tornado;
toothpaste;ubat gigi;pasta gigi, odol;
towel;tuala (from Portuguese toalha);handuk (from Dutch handdoek);
traffic jam;kesesakan lalulintas, jam (slang);kemacetan, macet;
traffic light;lampu isyarat (In Indonesian, isyarat means sign.);lampu lalu-lintas;
train;kereta api, tren;kereta (api);
transport, transportation;pengangkutan;transportasi, pengangkutan, perhubungan (in case of Ministry of Transportation);
transsexual;pondan, bapok (slang), transseksual;transseksual, waria (polite) a shortened form of wanita-pria , bencong, banci;
tree;pokok in Indonesian means "principal" or "core" or "staple", in Sundanese poko means authentic, e.g. authentic cuisine, pohon;pohon;
trillion (1012);trilion;trilyun, triliun (from Dutch pronunciation; starting with 1012, Indonesian uses the short scale.);
try;cuba;coba;
turkey (bird);ayam belanda;(ayam) kalkun (from Dutch kalkoen);
turn;pusing (means 'to spin' in Indonesian, commonly used to mean dizzy as a short form of kepala pusing), belok;belok, putar;
ugly;hodoh, teruk, buruk;jelek, buruk;
Ukraine;Ukraine;Ukraina;
uncle;pakcik;paman, oom, om (derived from Dutch, pronounced and sometimes spelt as oom);
union;kesatuan (in Indonesian means "unitary");persatuan, uni, serikat;
United Arab Emirates;Emiriah Arab Bersatu;Uni Emirat Arab;
United Kingdom;United Kingdom;Inggris Raya;
United Nations;Pertubuhan Bangsa-Bangsa Bersatu;Perserikatan Bangsa-Bangsa;
United States of America (USA) United States (US);Amerika Syarikat;Amerika Serikat (AS);
university;universiti;universitas;
until;sehingga (mean thus in Indonesian), sampai;hingga, sampai;
vagina;faraj (from Arabic, in Indonesian means "vulva"), pepek/pepet (slang);alat kelamin wanita, liang peranakan, vagina, farji, memek (slang, vulgar), pepek (slang, vulgar);
variable (mathematics);pemboleh ubah;variabel, peubah;
Vatican City;Vatican City;(Kota) Vatikan;
Venice;Venice;Venesia (influenced by Dutch Venetië );
verb;kata kerja;kata kerja (influenced by Dutch werkwoord, literally "work word"), verba;
verification;pengesahan (mean "validation" in Indonesian);verifikasi;
very;sangat, amat, sekali;sangat, amat, sekali, banget (from Javanese ngoko);
vice (deputy);naib;wakil, naib (less common);
victim;mangsa in Indonesian means "prey";korban;
Vienna;Vienna;Wina (influenced by Dutch Wenen);
violet (colour);lembayung;violet, ungu, lembayung (rarely used);
virgin;(anak) dara, (anak) gadis, perawan;perawan (formal), gadis, (anak) dara;
viscosity;kelikatan;viskositas, kekentalan;
visit;lawatan, pelancongan;wisata, kunjungan, pelancongan, lawatan (to foreign country, sick person or dead person);
volleyball;bola tampar;bola voli;
volume (math);isi padu;volume, ruang, isi;
voucher;baucer;vocer;
want;mahu;mau, ingin;
warden;warden, penjaga penjara;sipir (penjara) (from Dutch cipier);
Warsaw;Warsaw;Warsawa;
website;laman web, laman sesawang;situs web, laman web;
weekend;hujung minggu;akhir pekan, akhir minggu;
well (water hole);perigi;sumur, perigi (rarely used);
wheelchair;kerusi roda;kursi roda;
when;bila, apabila, ketika, bilamana (rarely used);kapan, bilamana, (question word) bila, ketika;
window;tingkap, jendela;jendela (from Portuguese janela), tingkap (less common);
windscreen, windshield;cermin kereta;kaca depan (mobil);
wire;dawai, wayar;kawat (e.g. copper wire), kabel (e.g. electrical wire, cable);
you;anda (very formal), awak, kamu, engkau, kau;anda (everyday formal), kamu (familiar only), engkau ('kau) (prose), elu/loe (very vulgar Betawi slang, influenced by Chinese dialect leu);
zero;sifar;nol from Dutch nul;
zipper (fastener);zip;resleting from Dutch ritssluiting;
zone;zon;daerah, zona;
zoo;zoo, taman haiwan (kebun binatang was also frequently used in Malaysia before the mid-1960s);kebun binatang (derived from Dutch dierentuin, literally "animal garden"), taman margasatwa (more formal form for zoological park);
